"","baseMean","log2FoldChange","lfcSE","pvalue","padj"
"(CAG)n_4_56946967",14.4685901736375,1.53297782780233,0.427935484588033,1.56408533198181e-05,0.0045077577669892
"(GCCGGA)n_10_80458647",35.3880257732538,1.52677835422867,0.511083524748508,0.00010404162525996,0.014295615246466
"(CCG)n_10_9776620",22.9209875282585,1.50206417455883,0.401861915024642,8.5348185177637e-06,0.00317180808178576
"(GGC)n_2_130748482",44.4927205188277,1.49038029147261,0.448971444329958,3.5751854382117e-05,0.00776750288591162
"(CCG)n_5_24657107",33.6886499950388,1.48828687828203,0.322087624547798,1.87274479336157e-07,0.000240426381562292
"(GGCCC)n_5_140634693",52.4908041844527,1.47739337636737,0.482532541780306,8.1986582067661e-05,0.0126126848891713
"(TTCTT)n_14_103561110",29.0735602056256,1.47728716509682,0.295854829046255,2.91337442423023e-08,5.14283420237241e-05
"ORR1A3_2_79686598",16.4036441655543,1.46806941592244,0.417899765632382,1.9177104776372e-05,0.00506203875984907
"(CCGGCC)n_15_89408248",34.4344251348639,1.45331042232248,0.29386716246941,4.03581673229915e-08,6.33264487705873e-05
"RMER1B_17_32334683",14.5250719040064,1.45111840003724,0.438775549049603,4.16231212878332e-05,0.00848781258846649
"(GCG)n_19_32735152",120.74693039781,1.43807022334911,0.466396990013601,7.61525472302405e-05,0.0119960463150148
"GA-rich_6_108190109",34.1388020971181,1.4270838106967,0.364813143410673,3.99316587326816e-06,0.00204670712563562
"G-rich_19_43429365",15.8013323126567,1.41707964766041,0.506125907052951,0.000196676830871254,0.0195596493349567
"MER5A_X_82845893",13.6903832290549,1.41341488397074,0.413588603886992,2.91844471074154e-05,0.0068122770586929
"(GGCGGC)n_10_95399721",40.1885603807185,1.41024723427006,0.545639977026954,0.00032634242472171,0.0253609749533788
"(GCG)n_11_102208511",16.2648651830118,1.40144700350709,0.481501437932127,0.000145835453993296,0.0168121492350476
"(CCGC)n_6_30304363",48.8885211443143,1.39696561712065,0.271486997822009,1.38968309388353e-08,3.46462677525006e-05
"L1_Rod_2_5896353",14.7770591718534,1.38018596280264,0.434798506487959,6.55745466615351e-05,0.0111577658653963
"(GCGGAG)n_7_67602046",14.652609235254,1.37538217801078,0.396312667210394,2.35299299966565e-05,0.00604163038932332
"B3A_18_61082604",17.990364905488,1.34708499965705,0.450809154789388,0.000115404081023204,0.0150901521500897
"MIRb_7_6716612",22.099864237349,1.34521350436523,0.371228451159933,1.32327290956905e-05,0.00410709011624927
"(CCCCGG)n_9_121126642",53.3958942462695,1.34498922134226,0.397072909448327,2.91619244048009e-05,0.0068122770586929
"OldhAT1_3_37000446",32.8265802458583,1.33525844351081,0.372040899502422,1.44082244177989e-05,0.00432921160059906
"B4A_9_103050731",18.6771463779947,1.33437132112235,0.385341463231928,2.48045886058468e-05,0.00631153874399582
"G-rich_9_108067244",36.4107263189516,1.31629057619648,0.457990299122678,0.000151849719780831,0.0172937237318137
"(CCGCC)n_4_138182155",518.533533393227,1.30258220204313,0.413215683716372,6.31793716613731e-05,0.011149277885549
"(GCCGC)n_15_95426065",15.3763864614246,1.30077476183532,0.429918204251686,0.000106901711705492,0.0143701239025082
"(CCGC)n_11_93887020",17.7783991213554,1.29854884332019,0.398097920381402,4.99064818442398e-05,0.00965451146033362
"(GCC)n_13_46823409",53.588268505804,1.29663094426804,0.415036076426868,7.01151577332399e-05,0.0114470087573273
"MamRep605_7_6727760",33.0897406399327,1.27943011933709,0.325485446814042,4.02266869992925e-06,0.00204670712563562
"MTE2a_9_4435172",21.682103533568,1.27269801155404,0.384497814068484,4.090610792348e-05,0.00843322709628298
"(CGC)n_11_118976939",31.1957667954515,1.2710915497771,0.343699638451218,9.70419318223077e-06,0.00346943331948007
"B3A_16_78126926",18.9803540681917,1.27022088182236,0.381554301200951,3.91950352998802e-05,0.00820018205192456
"(GGC)n_5_124492116",14.3000106464844,1.26675096220842,0.553794572279209,0.000749723956142628,0.0372652245305513
"(TCTCTT)n_9_44754156",20.6922868959929,1.26221133138788,0.448084616944624,0.000189579230653202,0.0192190736972261
"(GGC)n_17_63806562",32.1025567853693,1.26040699929189,0.343652853494284,1.09647129967242e-05,0.00360101574278464
"(GGCCGC)n_18_21029118",24.0894478586949,1.26023736138752,0.356187325386385,1.78396305049439e-05,0.00489630245865282
"(GGC)n_11_102187236",48.7394926766587,1.24930676216403,0.428407745372993,0.000136643090030906,0.016215745524508
"(GGC)n_2_69727640",20.2074525877873,1.24521930583537,0.438013367490974,0.000181443983603579,0.0189866156330024
"(CCCGG)n_19_16110487",13.8111020091652,1.23630357991516,0.503813280263078,0.000520613607827557,0.0318766638555515
"URR1A_4_42922781",32.535421907625,1.233657320466,0.319976797296811,5.47966771384359e-06,0.00253717598212784
